text,drug,effect
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,potassium depletion
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,rhabdomyolysis
"After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.",citalopram,8-hydroacy-desmethylclomipramine plasma level decrease
"After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.",citalopram,desmethylclomipramine plasma level increase
We report 3 cases of HIV-1 infected patients who experienced symptomatic angiolipomas shortly after starting antiretroviral therapy including the protease inhibitor indinavir.,indinavir,angiolipomas
Elevated serum triglycerides with clozapine resolved with risperidone in four patients.,clozapine,Elevated serum triglycerides
In two patients clozapine was reinstated after risperidone was discontinued; serum triglyceride levels increased.,clozapine,serum triglyceride levels increased
This increase when clozapine was switched to risperidone and vice versa is consistent with our previous report of elevated serum triglyceride levels in clozapine-treated patients.,clozapine,elevated serum triglyceride levels
Intravenous valproate associated with significant hypotension in the treatment of status epilepticus.,valproate,hypotension
"To our knowledge, this is the first report of significant hypotension associated with intravenous valproate in the treatment of status epilepticus in the pediatric population.",valproate,hypotension
We report a case of severe hypotension associated with intravenous valproate used to treat status epilepticus in an 11-year-old girl.,valproate,hypotension
In both patients the rippling phenomena worsened with pyridostigmine treatment but markedly improved after immunosuppression with azathioprine.,pyridostigmine,rippling phenomena worsened
A diagnosis of masked theophylline poisoning should be considered in similar situations involving a rapid decrease of insulin requirements.,theophylline,theophylline poisoning
"Salicylate intoxication was excluded, and theophylline was finally incriminated.",theophylline,intoxication
Theophylline intoxication mimicking diabetic ketoacidosis in a child.,Theophylline,Theophylline intoxication
"This compound, used by adults in the child's home, had caused accidental theophylline poisoning, mimicking diabetic ketoacidosis.",theophylline,theophylline poisoning
Methylene blue in the treatment and prevention of ifosfamide-induced encephalopathy: report of 12 cases and a review of the literature.,ifosfamide,ifosfamide-induced encephalopathy
Ten to 15% of patients treated with ifosfamide develop an encephalopathy.,ifosfamide,encephalopathy
We conclude that MB is an effective treatment for ifosfamide-induced encephalopathy.,ifosfamide,ifosfamide-induced encephalopathy
Portal vein thrombosis in a patient with severe haemophilia A and F V G1691A mutation during continuous infusion of F VIII after intramural jejunal bleeding--successful thrombolysis under heparin therapy.,F VIII,Portal vein thrombosis
We report on a 14-year-old boy with severe haemophilia A who developed a portal vein thrombosis during continuous infusion of F VIII.,F VIII,portal vein thrombosis
A 60-year-old woman with diabetes mellitus (type 2) developed an acute icteric hepatitis-like illness 6 weeks after the initiation of gliclazide therapy.,gliclazide,acute icteric hepatitis-like illness
Gliclazide-induced acute hepatitis.,Gliclazide,acute hepatitis
"In conclusion, this case strongly suggests that gliclazide can induce acute icteric liver necro-inflammation which may be misdiagnosed clinically as acute viral hepatitis.",gliclazide,acute icteric liver necro-inflammation
We believe that this is the first description of acute hepatitis caused by an idiosyncratic adverse reaction to gliclazide or to one of its metabolites.,gliclazide,acute hepatitis
"We describe the case of acute hepatitis induced by gliclazide, a second generation sulfonylurea.",gliclazide,acute hepatitis
"Caution is, therefore, needed to prevent undesired accumulation of TCA that may lead to protracted Cushing's syndrome.",TCA,Cushing's syndrome
Cushing's syndrome persisted more than 6 months while TCA concentrations remained detectable for at least 80 days.,TCA,Cushing's syndrome
"The presented patient was treated with 200 mg TCA and developed Cushing's syndrome 6 weeks later (cortisol and ACTH concentrations were below limits of detection, TCA concentrations were > 3 micrograms/l).",TCA,Cushing's syndrome
"Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.",nitrofurantoin,abnormal computed tomographic scans
"Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.",nitrofurantoin,impaired lung function
Bronchiolitis obliterans organising pneumonia associated with the use of nitrofurantoin.,nitrofurantoin,Bronchiolitis obliterans organising pneumonia
"The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.",nitrofurantoin,BOOP
"The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.",nitrofurantoin,bronchiolitis obliterans organising pneumonia
"The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.",nitrofurantoin,lung disease
The favourable outcome in these two patients contrasts with the fatal outcome of the two other reported cases of nitrofurantoin induced BOOP.,nitrofurantoin,fatal outcome
The favourable outcome in these two patients contrasts with the fatal outcome of the two other reported cases of nitrofurantoin induced BOOP.,nitrofurantoin,nitrofurantoin induced BOOP
The spectrum of nitrofurantoin lung injury continues to widen.,nitrofurantoin,lung injury
The two middle aged women presented with respiratory symptoms after prolonged treatment with nitrofurantoin.,nitrofurantoin,respiratory symptoms
"We suggest that the previous classification of nitrofurantoin induced lung injury into ""acute"" and ""chronic"" injury is an oversimplification in view of the wide variety of pathological entities that have subsequently emerged.",nitrofurantoin,nitrofurantoin induced lung injury
Intravenous administration of levodopa ameliorated a refractory akathisia case induced by interferon-alpha.,interferon-alpha,akathisia
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.,interferon-alpha,akathisia
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.,interferon-alpha,neurotoxicity
Acute erythroid leukemia after cyclophosphamide therapy for multiple myeloma: report of two cases.,cyclophosphamide,Acute erythroid leukemia
The development of erythroid leukemia plus carcinoma in these two men suggests mutagenic change secondary to cyclophosphamide therapy.,cyclophosphamide,carcinoma
"Scleroderma-like reaction induced by uracil-tegafur (UFT), a second-generation anticancer agent.",UFT,Scleroderma-like reaction
"Scleroderma-like reaction induced by uracil-tegafur (UFT), a second-generation anticancer agent.",uracil-tegafur,Scleroderma-like reaction
