"damage_class","narr_cause"
"Substantial","The student pilot's improper use of the rotorcraft flight controls, and the instructor pilot's inadequate supervision of the maneuver."
"Destroyed","The student pilot allowed the airspeed to get too low and inadvertently stalled the airplane, and the CFI delayed in taking remedial action."
"Substantial","The pilot's inadequate preflight planning and his failure to dissiminate/coordinate the total distance required to successfully operate the airplane."
"None","The lineman's failure to use the designed attachment point  for securing his safety harness to the helicopter, resulting in overload and failure of the component he did attach to.  A factor in the accident was the lineman's failure to follow exact sequential procedures for performing the in-flight transfer from rotorcraft to structure, resulting in his being dragged off the structure by the retreating rotorcraft."
"Substantial","The pilot's inadequate preflight planning/preparation, and his selection of unsuitable terrain for landing.  A factor in the accident was snow-covered terrain."
"Substantial","The improper emergency procedure performed by the pilot due to his electing to perform a run-on landing resulting in excessive airspeed at touchdown and subsequent roll-over following ground contact with grass.  A contributing factor was the inadequate 100-Hour inspection performed last to the helicopter resulting in the total loss of engine power due to fuel starvation."
"Substantial","The pilot's failure to maintain clearance from the delivery truck while taxing.  The pilot being distracted is a factor."
"Substantial","the pilot's mismanagement of his available fuel, the fuel starvation of the engine, and the pilot's excessive rate of descent during the touchdown portion of a power-off forced landing."
"Substantial","The pilot's improper in-flight planning/decision and his failure to refuel, which resulted in fuel exhaustion."
"Substantial","the pilot's improper flare which resulted in a hard landing."
"Substantial","The student's failure to maintain control of the aircraft during landing due to his  improper landing flare height and improper recovery from a bounced landing, resulting in a nose landing gear collapse, and excursion off the runway."
"Substantial","The pilot exceeding the available runway distance during landing and the pilot's delay in executing a go-around.  Factors relating to the accident were, the pilots improper in-flight planning/decision, the pilot disregarding the NOTAMS for the airport, the pilot failing to properly consider the warning given by the Unicom operator regarding the icy runway and nil braking action, the icy runway, and the drop-off/descending embankment."
